Alkon hinnasto 13.11.2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Huom.! Hinnastojärjestyskoodilla saat tuoteryhmät takaisin hinnaston järjestykseen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Numero;Nimi;Valmistaja;Pullokoko;Hinta;Litrahinta;Uutuus;Hinnastojärjestyskoodi;Tyyppi;Alatyyppi;Erityisryhmä;Oluttyyppi;Valmistusmaa;Alue;Vuosikerta;Etikettimerkintöjä;Huomautus;Rypäleet;Luonnehdinta;Pakkaustyyppi;Suljentatyyppi;Alkoholi-%;Hapot g/l;Sokeri g/l;Kantavierrep-%;Väri EBC;Katkerot EBU;Energia kcal/100 ml;Valikoima;EAN
460107;Luigi Bosca De Sangre Cabernet Franc 2022;Bodega Luigi Bosca;0.75 l;24.90;33.07;;110;punaviinit;Vivahteikas & Kehittynyt;;;Argentiina;Mendoza;2022;Maipu;Saattaa sisältää sakkaa;Cabernet Franc, ;Tummanpunainen, täyteläinen, tanniininen, hapankirsikkainen, viikunainen, karpaloinen, herukkainen, yrttinen, tamminen;pullo;luonnonkorkki;14.0;5.8;0;;;;80.0;vakiovalikoima;7791203002290
466907;Luigi Bosca De Sangre Malbec 2022;Bodega Luigi Bosca;0.75 l;23.99;31.85;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2022;DOC Luján de Cuyo;Saattaa sisältää sakkaa;Malbec, ;Runsaanpunainen, täyteläinen, keskitanniininen, karhunvatukkainen, herukkainen, tumman kirsikkainen, mausteinen, kevyen tamminen;pullo;luonnonkorkki;14.5;5.2;0;;;;80.0;vakiovalikoima;7791203000142
910867;Masi Tupungato Passo Doble 2022;Masi Tupungato;0.75 l;17.50;23.2;;110;punaviinit;Mehevä & Hilloinen;Luomu;;Argentiina;Mendoza;2022;Valle de Uco;;Corvina, Malbec, ;Tummanpunainen, täyteläinen, keskitanniininen, marjainen, mausteinen;pullo;metallinen kierrekapseli;14.0;5.5;2;;;;80.0;tilausvalikoima;8002062001607
902198;Mendel Malbec 2021;Mendel Wines;0.75 l;24.98;33.31;uutuus;110;punaviinit;Roteva & Voimakas;;;Argentiina;Mendoza;2021;Mendoza;Saattaa sisältää sakkaa;Malbec, ;Tummanpunainen, täyteläinen, tanniininen, kypsän kirsikkainen, villivadelmainen, paahteinen;pullo;luonnonkorkki;14.5;4.9;3;;;;80.0;tilausvalikoima;7798125633816
907964;Norton Altura Malbec 2022;Bodega Norton;0.75 l;19.00;25.2;;110;punaviinit;Roteva & Voimakas;Vegaaneille soveltuva tuote;;Argentiina;Mendoza;2022;Valle De Uco;Saattaa sisältää sakkaa. Vegaaneille soveltuva tuote;Malbec, ;Runsaanpunainen, täyteläinen, tanniininen, vadelmainen, boysenmarjainen, setrinen;pullo;luonnonkorkki;14.5;6.2;3;;;;80.0;tilausvalikoima;7792319969552
445147;Norton Barrel Select Cabernet Sauvignon 2025;Bodega Norton;0.75 l;12.99;17.19;;110;punaviinit;Mehevä & Hilloinen;Vegaaneille soveltuva tuote;;Argentiina;Mendoza;2025;Mendoza;Vegaaneille soveltuva tuote;Cabernet Sauvignon, ;Tummanpunainen, täyteläinen, keskitanniininen, mustaherukkainen, tumman kirsikkainen, kevyen vadelmainen, mausteinen, hennon salmiakkinen;lasipullo;metallinen kierrekapseli;14.0;5.2;0;;;;80.0;vakiovalikoima;7792319970978
464277;Norton Barrel Select Malbec 2024;Bodega Norton;0.75 l;12.59;16.65;;110;punaviinit;Mehevä & Hilloinen;Vegaaneille soveltuva tuote;;Argentiina;Mendoza;2024;Mendoza;Vegaaneille soveltuva tuote;Malbec, ;Sinipunainen, täyteläinen, keskitanniininen, tumman kirsikkainen, herukkainen, karhunvatukkainen, mausteinen, kevyen tamminen;pullo;metallinen kierrekapseli;14.0;5.0;0;;;;80.0;vakiovalikoima;7792319677792
444218;Norton Colección de los Andes Cabernet Sauvignon Malbec 2024 kartonkitölkki;Bodega Norton;1 l;12.99;12.99;;110;punaviinit;Mehevä & Hilloinen;Vegaaneille soveltuva tuote;;Argentiina;Mendoza;2024;Mendoza;Vegaaneille soveltuva tuote;Cabernet Sauvignon, Malbec, ;Runsaanpunainen, täyteläinen, keskitanniininen, mustaherukkainen, kirsikkainen, mustikkainen, kaakaopapuinen, mausteinen;kartonkitölkki;muovisuljin;13.5;4.9;2;;;;80.0;vakiovalikoima;7792319972156
400115;Norton Libre Cabernet Sauvignon Cabernet Franc 2023;Norton;0.75 l;16.59;21.99;uutuus;110;punaviinit;Roteva & Voimakas;Vegaaneille soveltuva tuote;;Argentiina;Mendoza;2023;Lujan De Cuyo;Vegaaneille soveltuva tuote;Cabernet Franc, Cabernet Sauvignon, ;Runsaanpunainen, täyteläinen, tanniininen, mustaherukkainen, tumman kirsikkainen, luumuinen, suklainen, mausteinen, tamminen;pullo;luonnonkorkki;14.5;5.7;0;;;;80.0;vakiovalikoima;7792319973603
935544;Norton Lote Negro 2021;Norton;0.75 l;25.99;34.65;;110;punaviinit;Roteva & Voimakas;Vegaaneille soveltuva tuote;;Argentiina;Mendoza;2021;Valle de Uco;Saattaa sisältää sakkaa. Vegaaneille soveltuva tuote;Cabernet Franc, Malbec, ;Rubiininpunainen, täyteläinen, tanniininen, karhunvatukkainen, mausteinen, vadelmainen;pullo;luonnonkorkki;15.0;6.5;2;;;;80.0;tilausvalikoima;7792319003904
